Formula              ✕,Band gap              ✕,Cond. band minimum              ✕,Val. band maximum              ✕,Work function (avg. if finite dipole)              ✕
Pb2Te6,0.268,-0.451,-0.719,4.823
Re2Br6,0.135,-1.483,-1.618,4.703
Sc2Br6,2.64,-1.876,-4.516,5.69
Tl2I6,0.772,-2.32,-3.093,5.703
W2I6,0.223,0.167,-0.056,3.923
HfZr3Se8,0.824,-1.441,-2.265,5.865
Cr3WSe8,0.677,-0.055,-0.732,4.818
Al2Cl2O2,5.729,1.675,-4.054,5.031
AsClS,1.731,-1.485,-3.215,5.864
AsISe,1.151,-1.111,-2.262,5.012
BiClS,1.002,-2.855,-3.857,6.366
Bi2I2Se2,0.706,-1.682,-2.388,5.839
Cr2Br2Se2,0.179,-1.977,-2.156,5.743
HfBrI,0.713,1.748,1.035,2.898
In2Br2Se2,1.23,-1.469,-2.7,5.543
BrSSb,1.217,-1.851,-3.068,5.549
In2Cl2O2,2.607,-1.329,-3.936,6.404
ClSbTe,1.394,-1.124,-2.517,5.39
Tl2I2O2,0.312,-1.368,-1.68,5.692
ISbTe,0.838,-1.171,-2.009,4.939
MoOS,1.06,-0.479,-1.539,5.281
Au2Br2Te4,1.013,-1.856,-2.87,4.992
Cu2I2Se4,0.791,-1.794,-2.585,5.038
OsBr2,1.157,0.299,-0.857,3.668
In2P2S6,0.839,-1.184,-2.024,5.048
Os2P2S6,0.038,-1.216,-1.254,5.016
Ru2P2S6,0.326,-0.895,-1.221,4.951
Cr2Mo2Se8,0.819,0.046,-0.773,4.814
Ti2Zr2Se8,0.623,-1.556,-2.179,5.829
HfNiBr6,1.355,-2.279,-3.634,5.845
Ag2C8N6,3.412,-1.715,-5.127,3.931
As4Se6,1.735,-2.378,-4.112,4.614
Pb2O2,2.406,-0.716,-3.122,3.402
Sn2O2,2.493,-1.301,-3.795,3.951
BaF12Sb2,4.966,-3.033,-7.999,8.176
Ca2CoO3,0.048,0.028,-0.02,1.741
Cr2Ta4O12,0.205,-3.233,-3.438,5.131
CuV2O6,0.195,-6.268,-6.463,7.454
Hf2Cl2N2,2.33,-1.232,-3.562,5.544
Nb4I2Te12,0.673,-2.06,-2.732,4.405
Pd3P2S8,1.75,-2.997,-4.747,5.579
Rb2Br2F8,3.487,-3.583,-7.071,6.447
Y2Cl2O4,0.367,-5.926,-6.293,7.979
Na2C2N2S2,4.121,-0.313,-4.433,3.571
Ag2Cr2P4S12,0.997,-3.032,-4.03,5.541
BiCuP2Se6,1.009,-2.599,-3.608,5.114
Co2H4O8Se2,0.476,-2.282,-2.758,4.144
Cu4Li2V2O12,0.091,-5.748,-5.839,6.956
K2C4H6O6,4.672,0.588,-4.084,3.123
V2H4O10Se2,0.892,-2.128,-3.02,3.75
Rb2C2F6O6S2,5.749,0.527,-5.222,4.237
Hf2Te2,0.04,0.686,0.647,4.531
Al2Te2,1.955,0.311,-1.645,4.271
Au2O2,0.174,-3.092,-3.265,5.315
BSb,0.314,-1.773,-2.087,4.345
Cs2Br2,4.08,-0.195,-4.275,3.502
In2I2,0.988,-0.229,-1.217,4.942
Zr2Br2,0.045,0.75,0.705,2.799
Ga2I2,1.786,-1.465,-3.251,4.068
Ge2H2,0.92,-1.99,-2.91,4.414
PbS,1.82,-1.378,-3.198,4.831
Zr2S2,0.132,0.101,-0.031,3.543
Sc2Te2,0.291,-0.484,-0.774,4.637
Ti2Se2,0.041,-0.547,-0.587,4.183
PbO2,1.346,-3.577,-4.924,7.42
BaF2,5.655,-0.282,-5.936,4.683
CaF2,6.451,-0.635,-7.086,5.266
CdI2,2.136,-0.607,-2.743,4.96
BaI2,3.332,-0.036,-3.369,4.968
FeBr2,0.263,-1.678,-1.941,5.235
Fe2S4,0.654,-1.102,-1.756,5.392
Pd2Se4,1.313,-1.452,-2.765,4.747
GeS2,0.729,-2.012,-2.741,6.095
HfO2,4.477,-0.822,-5.299,5.322
HgBr2,1.573,-2.249,-3.822,6.139
MnCl2,2.025,-2.111,-4.136,5.359
Rh2Br4,0.089,-1.592,-1.681,4.71
Ru2Te4,0.642,0.323,-0.319,4.354
VI2,1.202,0.08,-1.123,3.947
ScS2,0.718,-2.222,-2.94,5.679
SnBr2,2.097,-1.633,-3.73,5.445
SnSe2,0.762,-1.605,-2.367,5.617
SrI2,3.418,-0.013,-3.431,4.925
TiO2,3.481,-2.484,-5.965,6.433
WS2,1.534,0.678,-0.855,4.733
YBr2,0.344,-0.115,-0.459,3.762
ZnBr2,2.411,-1.073,-3.483,5.404
ZrTe2,0.788,-1.607,-2.395,4.875
RuH2O2,0.506,0.516,0.01,1.633
Bi2S2Te,0.021,-1.053,-1.074,5.891
Cu2MoO4,2.453,-2.215,-4.668,5.067
Ag2ReI6,0.169,-1.97,-2.139,5.395
